"Detailed food spending, Canada, regions and provinces 1 2 3 4",,,,,
Annual,,,,,
Table: 11-10-0125-01 (formerly CANSIM 203-0028),,,,,
"Geography: Canada, Geographical region of Canada, Province or territory",,,,,
,,,,,
,Canada,,,,
,Average expenditure per household,,,,
"Food expenditures, summary-level categories",2013,2014,2015,2016,2017
,Dollars,,,,
Food expenditures 6,"7,934","8,109","8,629","8,784","8,527"
Food purchased from stores,"5,718","5,880","6,126","6,176","5,934"
Bakery products,567,562,574,578,563
Cereal grains and cereal products,320,327,341,347,321
"Fruit, fruit preparations and nuts",698,719,755,781,731
Vegetables and vegetable preparations,652,675,710,718,702
Dairy products and eggs,876,864,903,888,839
Meat,"1,044","1,182","1,194","1,163","1,109"
Fish and seafood,200,211,213,203,219
Non-alcoholic beverages and other food products,"1,362","1,342","1,437","1,499","1,451"
Food purchased from restaurants,"2,216","2,229","2,502","2,608","2,593"
Restaurant meals,"1,963","1,959","2,222","2,303","2,272"
Restaurant snacks and beverages,253,270,281,305,321
,,,,,
,,,,,
Footnotes:,,,,,
1,"This table includes the data previously found in table 11-10-0217-01 (formerly CANSIM table 203-0029), which has been archived.",,,,
2,"For more information about survey methodology, data quality, variable definitions and data products, see the Survey of Household Spending User Guide (catalogue number 62F0026MIE) available free on the Statistics Canada website: Household expenditures research papers series.",,,,
3,The Survey of Household Spending uses survey weights which take into account population projections from the 2011 Census.,,,,
4,"To ensure data quality, suppression of expenditure estimates is based on the coefficient of variation (CV). Expenditures that have a CV greater than or equal to 35% are suppressed as they are too unreliable to be published.",,,,
5,Canada-level statistics include the 10 provinces only.,,,,
6,"Does not include day board paid to other private households, which is now included in childcare expenses in household operations.",,,,
,,,,,
"How to cite: Statistics Canada. Table 11-10-0125-01 Detailed food spending, Canada, regions and provinces",,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110012501,,,,,
DOI: https://doi.org/10.25318/1110012501-eng,,,,,
